nome;lon;lat;endereco
222;-43.9295759;-19.9456523;R. Francisco Deslandes, 222 ,Belo Horizonte - MG, 30310-530
Alexandre’s Bar;-43.9441692;-19.8634011;R. David Alves do Vale, 68  , Santa Rosa, Belo Horizonte - MG, 31255-630
Andrade’s Beer;-43.9965515;-19.8013309;R. Dona Geni, 32 , Maria Helena, Belo Horizonte - MG, 31680-100
Avalanche Bar e Restaurante;-43.9562441;-19.8234084;R. Doutor Álvaro Camargos, 1113 , São Belo Horizonte - MG, 31515-142
Azougue Fogo e Bar;-43.9234402;-19.9335106;Rua do Ouro, 835  , Serra, Belo Horizonte - MG, 30220-000
Baiúca;-43.9276278;-19.9343945;R. Piauí, 1884 , Funcionários, Belo Horizonte - MG, 30150-321
Bar Bambú;-43.9840632;-19.9440127;R. Divisa Nova, 670 , Belo Horizonte - MG, 30550-330
Bar Bendita Baderna;-43.9272578;-19.8811789;R. Silva Fortes, 47  , União, Belo Horizonte - MG, 31160-320
Bar da Cintia;-43.9694756;-19.8168676;R. Pastor Rui Franco, 257 , São João Batista (Venda Nova), Belo Horizonte - MG, 31520-230
Bar da Fia;-43.9791637;-19.8299231;R. dos Astecas, 2722 , Santa Mônica, Belo Horizonte - MG, 31530-300
Bar da Gisa;-43.916571;-19.8773115;Rua Maria Ferreira da Silva, 367 , Belo Horizonte - MG, 31920-350
Bar da Lu;-43.9645853;-19.8268831;R. Geralda Marinho, 41 , São João Batista (Venda Nova), Belo Horizonte - MG, 31515-420
Bar da Praça;-43.969218;-19.9230609;Rua Oeste, 517 , Calafate, Belo Horizonte - MG, 30411-312
,Bar da Silvânia;-44.0216093;-19.9402357;R. Soares Nogueira, 801 , Camargos, Belo Horizonte - MG, 30520-330
Bar do Bartolomeu;-44.0100935;-19.9894517;R. Arthur Luchesi, 356 , Santa Helena (Barreiro), Belo Horizonte - MG, 30642-140
Bar do Bem;-44.0062588;-19.9153621;Rua Vicentina Coutinho Camargos, 100 , Álvaro Camargos, Belo Horizonte - MG, 30860-130
Bar do Dedinho;-43.9776251;-19.8400936;Avenida Guarapari, 872 , Belo Horizonte - MG, 31555-000
Bar do João (São João Batista);-43.9645853;-19.8268831;R. Geralda Marinho, 117 , Belo Horizonte - MG, 31515-420
Bar do Momô;-43.9703781;-19.9186732;Avenida Coronel José Benjamim, 777 , Belo Horizonte - MG, 30720-430
Bar do Nelson;-43.9086241;-19.8899984;R. Vicente Risola, 1000 , Santa Inês, Belo Horizonte - MG, 31080-160
Bar do Peixinho;-43.9293954;-19.8757884;Avenida Bernardo de Vasconcelos, 1824 , Belo Horizonte - MG, 31150-000
Bar do Primo;-43.9762;-19.9294892;Avenida Amazonas, 4649 , Nova Suíça, Belo Horizonte - MG, 30421-169
Bar do Regis;-43.9752421;-19.9388489;R. Gávea, 422 , Jardim América, Belo Horizonte - MG, 30421-340
Bar do Tião;-43.9519176;-19.8289924;Avenida Doutor Cristiano Guimarães, 2570 , Planalto, Belo Horizonte - MG, 31741-161
Bar dos Meninos;-43.9789774;-19.9396503;Rua Lindolfo Deodoro, 503 - A , Salgado Filho, Belo Horizonte - MG, 30550-006
Bar Du Magrelo;-44.0119088;-20.0017003;Rua São Felipe, 21  , Belo Horizonte - MG,  31030-290
Bar e Restaurante Bom Sabor;-43.9746709;-19.9333627;R. Java, 386  , Nova Suíça, Belo Horizonte - MG, 30421-228
Bar e Restaurante do Branco;-43.9419455;-19.9025123;Rua Pitangui, 3197 , Belo Horizonte - MG, 31030-211
Bar Estabelecimento;-43.9239093;-19.9363019;R. Monte Alegre, 160 , Serra, Belo Horizonte - MG, 30240-230
Bar Junto Juntinho;-43.9640742;-19.9260694;Rua Cura D’Ars, 542 , Prado, Belo Horizonte - MG, 30411-200
Bar Mania Mineira;-43.9544742;-19.9316023;Rua Paracatu, 1099 , Santo Agostinho, Belo Horizonte - MG, 30180-091
Bar Pompéu;-43.9652554;-19.8410387;R. São Miguel, 779 , Itapoã, Belo Horizonte - MG, 31710-750
